Company,Product,TypeName,Inches,ScreenResolution,ScreenType,TouchScreen,CPU_Company,CPU_Type,Frequency_GHz,Frequency_Category,RAM_GB,RAM_Category,Memory,Total_Memory,Memory_Category,GPU_Company,GPU_Type,OpSys,Weight_kg,Price_Rs,Price_Category
Asus,VivoBook S15,Ultrabook,15.6,1920x1080,Full HD,No,Intel,Core i7 7500U,2.7,Average Frequency,8,Average RAM,256GB SSD,256,Low Memory,Nvidia,GeForce 940MX,Windows 10,1.7,93958,High Budget
HP,Elitebook 820,Ultrabook,12.5,1920x1080,Full HD,No,Intel,Core i7 7500U,2.7,Average Frequency,8,Average RAM,256GB SSD,256,Low Memory,Intel,HD Graphics 620,Windows 10,1.26,119575,High Budget
Dell,XPS 15,Notebook,15.6,3840x2160,4K Ultra HD / Touchscreen,Yes,Intel,Core i7 7700HQ,2.8,Average Frequency,32,High RAM,1TB SSD,1024,Average Memory,Nvidia,GeForce GTX 1050,Windows 10,2.06,236375,High Budget
MSI,GL72M 7REX,Gaming,17.3,1920x1080,Full HD,No,Intel,Core i7 7700HQ,2.8,Average Frequency,8,Average RAM,256GB SSD +  1TB HDD,1280,High Memory,Nvidia,GeForce GTX 1050 Ti,Windows 10,2.7,107394,High Budget
Toshiba,Satellite Pro,Notebook,15.6,1920x1080,IPS Panel Full HD,No,Intel,Core i5 7200U,2.5,Average Frequency,8,Average RAM,256GB SSD,256,Low Memory,Intel,HD Graphics 620,Windows 10,2.0,84464,High Budget
Asus,UX510UX-CN269T (i7-7500U/8GB/256GB,Notebook,14.0,1920x1080,Full HD,No,Intel,Core i7 7500U,2.7,Average Frequency,8,Average RAM,256GB SSD +  1TB HDD,1280,High Memory,Intel,HD Graphics 620,Windows 10,2.0,119486,High Budget
Lenovo,V310-15ISK (i3-6006U/4GB/1TB/FHD/W10),Notebook,15.6,1920x1080,Full HD,No,Intel,Core i3 6006U,2.0,Average Frequency,4,Low RAM,1TB HDD,1024,Average Memory,Intel,HD Graphics 520,Windows 10,1.85,40216,Average Budget
Asus,FX553VD-FY647T (i7-7700HQ/8GB/256GB/GeForce,Gaming,15.6,1920x1080,Full HD,No,Intel,Core i7 7700HQ,2.8,Average Frequency,8,Average RAM,256GB SSD,256,Low Memory,Nvidia,GeForce GTX 1050,Windows 10,2.5,89480,High Budget
HP,EliteBook 840,Notebook,14.0,1920x1080,Full HD,No,Intel,Core i5 7300U,2.6,Average Frequency,8,Average RAM,256GB SSD,256,Low Memory,Intel,HD Graphics 620,Windows 10,1.48,113574,High Budget
Dell,Inspiron 7570,Ultrabook,15.6,1920x1080,IPS Panel Full HD,No,Intel,Core i5 8250U,1.6,Low Frequency,8,Average RAM,128GB SSD +  1TB HDD,1152,High Memory,Nvidia,GeForce 940MX,Windows 10,1.9,93958,High Budget
HP,Elitebook 850,Notebook,15.6,1920x1080,Full HD,No,Intel,Core i5 7200U,2.5,Average Frequency,8,Average RAM,256GB SSD,256,Low Memory,Intel,HD Graphics 620,Windows 10,1.84,102468,High Budget
Asus,X541NA (N3350/4GB/1TB/Linux),Notebook,15.6,1366x768,Not Specified,No,Intel,Celeron Dual Core N3350,1.1,Low Frequency,4,Low RAM,1TB HDD,1024,Average Memory,Intel,HD Graphics 500,Linux,2.0,24542,Low Budget
Dell,Inspiron 7570,Notebook,15.6,1920x1080,Full HD,No,Intel,Core i5 8250U,1.6,Low Frequency,8,Average RAM,256GB SSD,256,Low Memory,Nvidia,GeForce 940MX,Windows 10,2.0,102288,High Budget
Dell,Inspiron 3552,Notebook,15.6,1366x768,Not Specified,No,Intel,Celeron Dual Core N3060,1.6,Low Frequency,4,Low RAM,500GB HDD,500,Low Memory,Intel,HD Graphics,Linux,2.2,24542,Low Budget
Lenovo,IdeaPad 320-15ABR,Notebook,15.6,1920x1080,Full HD,No,AMD,A12-Series 9720P,3.6,High Frequency,12,Average RAM,2TB HDD,2048,High Memory,AMD,Radeon 530,Windows 10,2.2,80523,High Budget
HP,ProBook 450,Notebook,15.6,1920x1080,IPS Panel Full HD,No,Intel,Core i3 7100U,2.4,Average Frequency,8,Average RAM,1TB HDD,1024,Average Memory,Nvidia,GeForce 930MX,Windows 10,2.1,64132,Average Budget
Lenovo,Yoga 920-13IKB,2 in 1 Convertible,13.9,3840x2160,IPS Panel 4K Ultra HD / Touchscreen,Yes,Intel,Core i7 8550U,1.8,Low Frequency,16,Average RAM,512GB SSD,512,Low Memory,Intel,UHD Graphics 620,Windows 10,1.4,188007,High Budget
Dell,XPS 13,Ultrabook,13.3,1920x1080,Full HD,No,Intel,Core i7 8550U,1.8,Low Frequency,8,Average RAM,256GB SSD,256,Low Memory,Intel,UHD Graphics 620,Windows 10,1.2,141431,High Budget
Lenovo,Legion Y520-15IKBN,Gaming,15.6,1920x1080,IPS Panel Full HD,No,Intel,Core i7 7700HQ,2.8,Average Frequency,16,Average RAM,256GB SSD +  2TB HDD,2304,High Memory,Nvidia,GeForce GTX 1050 Ti,Windows 10,2.4,101124,High Budget
HP,Stream 14-AX001nv,Notebook,14.0,1366x768,Not Specified,No,Intel,Celeron Dual Core N3060,1.6,Low Frequency,2,Low RAM,32GB Flash Storage,32,Low Memory,Intel,HD Graphics 400,Windows 10,1.44,24990,Low Budget
Dell,Latitude 5590,Ultrabook,15.6,1920x1080,Full HD,No,Intel,Core i7 8650U,1.9,Average Frequency,16,Average RAM,512GB SSD +  256GB SSD,768,Average Memory,Intel,UHD Graphics 620,Windows 10,1.88,143938,High Budget
Asus,VivoBook Flip,2 in 1 Convertible,11.6,1366x768,Touchscreen,Yes,Intel,Celeron Dual Core N3350,1.1,Low Frequency,4,Low RAM,32GB Flash Storage,32,Low Memory,Intel,HD Graphics 500,Windows 10,1.5,33588,Low Budget
Dell,Inspiron 5570,Ultrabook,15.6,1920x1080,Full HD,No,Intel,Core i5 8250U,1.6,Low Frequency,8,Average RAM,1TB HDD,1024,Average Memory,AMD,Radeon 530,Windows 10,1.9,59384,Average Budget
Dell,XPS 15,Notebook,15.6,3840x2160,4K Ultra HD / Touchscreen,Yes,Intel,Core i7 7700HQ,2.8,Average Frequency,16,Average RAM,512GB SSD,512,Low Memory,Nvidia,GeForce GTX 1050,Windows 10,2.06,181558,High Budget
HP,Elitebook 850,Notebook,15.6,1920x1080,Full HD,No,Intel,Core i7 7500U,2.7,Average Frequency,8,Average RAM,256GB SSD,256,Low Memory,Intel,HD Graphics 620,Windows 10,1.84,116799,High Budget
MSI,GP72MVR 7RFX,Gaming,17.3,1920x1080,Full HD,No,Intel,Core i7 7700HQ,2.8,Average Frequency,8,Average RAM,128GB SSD +  1TB HDD,1152,High Memory,Nvidia,GeForce GTX 1060,Windows 10,2.7,126204,High Budget
HP,Zbook 15,Workstation,15.6,1920x1080,Full HD,No,Intel,Core i7 7700HQ,2.8,Average Frequency,8,Average RAM,256GB SSD,256,Low Memory,Nvidia,Quadro M1200,Windows 10,2.6,155672,High Budget
Toshiba,Tecra A50-C-21G,Notebook,15.6,1920x1080,IPS Panel Full HD,No,Intel,Core i7 6500U,2.5,Average Frequency,16,Average RAM,512GB SSD,512,Low Memory,Nvidia,GeForce 930M,Windows 10,2.4,125666,High Budget
Dell,Inspiron 5570,Notebook,15.6,1920x1080,Full HD,No,Intel,Core i7 8550U,1.8,Low Frequency,8,Average RAM,128GB SSD +  2TB HDD,2176,High Memory,AMD,Radeon 530,Windows 10,2.02,86882,High Budget
Lenovo,IdeaPad 320-15IAP,Notebook,15.6,1366x768,Not Specified,No,Intel,Celeron Dual Core N3350,1.1,Low Frequency,4,Low RAM,1TB HDD,1024,Average Memory,Intel,HD Graphics 500,No OS,2.2,28751,Low Budget
Dell,Inspiron 7577,Gaming,15.6,1920x1080,Full HD,No,Intel,Core i5 7300HQ,2.5,Average Frequency,8,Average RAM,1TB HDD,1024,Average Memory,Nvidia,GeForce GTX 1050,Windows 10,2.65,89480,High Budget
Dell,Inspiron 3567,Notebook,15.6,1366x768,Touchscreen,Yes,Intel,Core i5 7200U,2.5,Average Frequency,8,Average RAM,2TB HDD,2048,High Memory,Intel,HD Graphics 620,Windows 10,2.36,49890,Average Budget
Dell,Latitude 7480,Notebook,14.0,1920x1080,Full HD,No,Intel,Core i5 7300U,2.6,Average Frequency,8,Average RAM,256GB SSD,256,Low Memory,Intel,HD Graphics 620,Windows 10,1.36,127816,High Budget
HP,250 G6,Notebook,15.6,1366x768,Not Specified,No,Intel,Core i3 6006U,2.0,Average Frequency,4,Low RAM,500GB HDD,500,Low Memory,Intel,HD Graphics 520,Windows 10,1.86,39321,Low Budget
Asus,Zenbook UX410UA-GV027T,Notebook,14.0,1920x1080,Full HD,No,Intel,Core i5 7200U,2.5,Average Frequency,8,Average RAM,256GB SSD,256,Low Memory,Intel,HD Graphics 620,Windows 10,2.0,84643,High Budget
Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,Not Specified,No,Intel,Core i5 7200U,2.5,Average Frequency,6,Average RAM,128GB SSD +  1TB HDD,1152,High Memory,Nvidia,GeForce GTX 940MX,Windows 10,2.8,64400,Average Budget
HP,250 G6,Notebook,15.6,1920x1080,Full HD,No,Intel,Core i5 7200U,2.5,Average Frequency,8,Average RAM,1TB HDD,1024,Average Memory,Intel,HD Graphics 620,Windows 10,1.86,57235,Average Budget
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1366x768,Not Specified,No,Intel,Core i3 6006U,2.0,Average Frequency,8,Average RAM,256GB SSD,256,Low Memory,Nvidia,GeForce 920MX,No OS,2.2,44695,Average Budget
HP,15-AY023na (N3710/8GB/2TB/W10),Notebook,15.6,1366x768,Not Specified,No,Intel,Pentium Quad Core N3710,1.6,Low Frequency,8,Average RAM,2TB HDD,2048,High Memory,Intel,HD Graphics 405,Windows 10,2.04,34842,Low Budget
Dell,Inspiron 5770,Notebook,17.3,1920x1080,Full HD,No,Intel,Core i5 8250U,1.6,Low Frequency,8,Average RAM,128GB SSD +  1TB HDD,1152,High Memory,AMD,Radeon 530,Windows 10,2.8,97183,High Budget
Lenovo,Legion Y520-15IKBN,Gaming,15.6,1920x1080,IPS Panel Full HD,No,Intel,Core i5 7300HQ,2.5,Average Frequency,8,Average RAM,128GB SSD +  1TB HDD,1152,High Memory,Nvidia,GeForce GTX 1050,No OS,2.4,72462,High Budget
Dell,Inspiron 5567,Notebook,15.6,1920x1080,Full HD,No,Intel,Core i7 7500U,2.7,Average Frequency,8,Average RAM,256GB SSD,256,Low Memory,AMD,Radeon R7 M445,Windows 10,2.33,80523,High Budget
HP,Elitebook 1040,Ultrabook,14.0,1920x1080,IPS Panel Full HD,No,Intel,Core i7 7500U,2.7,Average Frequency,8,Average RAM,256GB SSD,256,Low Memory,Intel,HD Graphics 620,Windows 10,1.36,156747,High Budget
Asus,ZenBook Flip,2 in 1 Convertible,15.6,1920x1080,Full HD / Touchscreen,Yes,Intel,Core i7 7500U,2.7,Average Frequency,12,Average RAM,512GB SSD +  2TB HDD,2560,High Memory,Nvidia,GeForce GT 940MX,Windows 10,2.26,98437,High Budget
Acer,Aspire 3,Notebook,15.6,1366x768,Not Specified,No,AMD,A9-Series 9420,3.0,High Frequency,4,Low RAM,128GB SSD,128,Low Memory,AMD,Radeon R5,Windows 10,2.1,38156,Low Budget
Asus,Rog Strix,Gaming,17.3,1920x1080,IPS Panel Full HD,No,AMD,Ryzen 1700,3.0,High Frequency,16,Average RAM,256GB SSD +  1TB HDD,1280,High Memory,AMD,Radeon RX 580,Windows 10,3.25,196964,High Budget
Lenovo,IdeaPad 110-17ACL,Notebook,17.3,1600x900,Not Specified,No,AMD,A8-Series 7410,2.2,Average Frequency,4,Low RAM,128GB SSD,128,Low Memory,AMD,Radeon R5,Windows 10,2.6,43799,Average Budget
Dell,Inspiron 5379,2 in 1 Convertible,13.3,1920x1080,Full HD / Touchscreen,Yes,Intel,Core i7 8550U,1.8,Low Frequency,8,Average RAM,256GB SSD,256,Low Memory,Intel,UHD Graphics 620,Windows 10,1.62,77836,High Budget
HP,15-bw003nv (A9-Series-9420/4GB/256GB/FHD/W10),Notebook,15.6,1920x1080,Full HD,No,AMD,A9-Series 9420,3.0,High Frequency,4,Low RAM,256GB SSD,256,Low Memory,AMD,Radeon R5,Windows 10,1.91,43710,Average Budget
Lenovo,Yoga 11e,Netbook,11.6,1366x768,IPS Panel,No,Intel,Celeron Quad Core N3450,1.1,Low Frequency,4,Low RAM,128GB SSD,128,Low Memory,Intel,HD Graphics 500,Windows 10,1.59,49532,Average Budget
Dell,Inspiron 3552,Notebook,15.6,1366x768,Not Specified,No,Intel,Celeron Dual Core N3060,1.6,Low Frequency,4,Low RAM,500GB HDD,500,Low Memory,Intel,HD Graphics 400,Windows 10,1.8,27677,Low Budget
Asus,VivoBook E403NA,Notebook,14.0,1366x768,Not Specified,No,Intel,Celeron Dual Core N3350,1.1,Low Frequency,4,Low RAM,32GB Flash Storage,32,Low Memory,Intel,HD Graphics 500,Windows 10,1.5,25617,Low Budget
Acer,Aspire 7,Notebook,15.6,1920x1080,Full HD,No,Intel,Core i7 7700HQ,2.8,Average Frequency,8,Average RAM,1TB HDD,1024,Average Memory,Nvidia,GeForce GTX 1050,Linux,2.4,75776,High Budget
HP,Omen 17-w212nv,Gaming,17.3,1920x1080,IPS Panel Full HD,No,Intel,Core i7 7700HQ,2.8,Average Frequency,8,Average RAM,128GB SSD +  1TB HDD,1152,High Memory,Nvidia,GeForce GTX 1050,Windows 10,3.35,106677,High Budget
Lenovo,V310-15ISK (i3-6006U/4GB/128GB/FHD/No,Notebook,15.6,1920x1080,Full HD,No,Intel,Core i3 6006U,2.0,Average Frequency,4,Low RAM,128GB SSD,128,Low Memory,Intel,HD Graphics 520,No OS,1.85,36096,Low Budget
Asus,ROG Strix,Gaming,15.6,1920x1080,IPS Panel Full HD,No,Intel,Core i7 7700HQ,2.8,Average Frequency,8,Average RAM,128GB SSD +  1TB HDD,1152,High Memory,Nvidia,GeForce GTX 1060,Windows 10,2.3,148238,High Budget
Lenovo,IdeaPad 720S-14IKB,Notebook,14.0,1920x1080,IPS Panel Full HD,No,Intel,Core i5 7200U,2.5,Average Frequency,8,Average RAM,256GB SSD,256,Low Memory,Nvidia,GeForce 940MX,Windows 10,1.5,98437,High Budget
Asus,Zenbook Flip,Ultrabook,13.3,1920x1080,Full HD / Touchscreen,Yes,Intel,Core i7 7500U,2.7,Average Frequency,16,Average RAM,512GB SSD,512,Low Memory,Intel,HD Graphics 620,Windows 10,1.1,156568,High Budget
Lenovo,Thinkpad X1,Ultrabook,14.0,2560x1440,IPS Panel,No,Intel,Core i7 7500U,2.7,Average Frequency,8,Average RAM,512GB SSD,512,Low Memory,Intel,HD Graphics 620,Windows 10,1.13,204398,High Budget
Lenovo,Ideapad 510S-13IKB,Notebook,13.3,1920x1080,IPS Panel Full HD,No,Intel,Core i3 7100U,2.4,Average Frequency,4,Low RAM,128GB SSD,128,Low Memory,Intel,HD Graphics 620,Windows 10,1.5,49173,Average Budget
Dell,Precision 3510,Workstation,15.6,1920x1080,Full HD,No,Intel,Core i5 6440HQ,2.6,Average Frequency,8,Average RAM,500GB HDD,500,Low Memory,AMD,FirePro W5130M,Windows 10,2.23,122621,High Budget
Dell,Precision 5520,Workstation,15.6,1920x1080,IPS Panel Full HD,No,Intel,Core i7 6820HQ,2.7,Average Frequency,8,Average RAM,256GB SSD,256,Low Memory,Nvidia,Quadro M1200,Windows 10,2.0,191231,High Budget
Lenovo,ThinkPad X1,2 in 1 Convertible,14.0,2560x1440,Touchscreen,Yes,Intel,Core i7 7500U,2.7,Average Frequency,16,Average RAM,512GB SSD,512,Low Memory,Intel,HD Graphics 620,Windows 10,1.42,224731,High Budget
Asus,Rog GL753VD-GC042T,Gaming,17.3,1920x1080,Full HD,No,Intel,Core i7 7700HQ,2.8,Average Frequency,8,Average RAM,1TB HDD,1024,Average Memory,Nvidia,GeForce GTX 1050,Windows 10,3.0,93063,High Budget
Asus,Rog GL753VE-GC070T,Gaming,17.3,1920x1080,Full HD,No,Intel,Core i7 7700HQ,2.8,Average Frequency,16,Average RAM,256GB SSD +  1TB HDD,1280,High Memory,Nvidia,GeForce GTX 1050 Ti,Windows 10,3.0,142505,High Budget
Acer,Aspire 5,Notebook,15.6,1366x768,IPS Panel,No,Intel,Core i5 8250U,1.6,Low Frequency,12,Average RAM,1TB HDD,1024,Average Memory,Nvidia,GeForce MX130,Windows 10,2.2,62072,Average Budget
MSI,Leopard GP72M,Gaming,17.3,1920x1080,Full HD,No,Intel,Core i7 7700HQ,2.8,Average Frequency,8,Average RAM,256GB SSD,256,Low Memory,Nvidia,GeForce GTX 1050 Ti,Windows 10,2.7,120829,High Budget
Dell,Inspiron 5567,Notebook,15.6,1920x1080,Full HD,No,Intel,Core i7 7500U,2.7,Average Frequency,8,Average RAM,256GB SSD,256,Low Memory,AMD,Radeon R7 M445,Linux,2.33,69685,Average Budget
HP,15-BW004nv (A9-9420/4GB/256GB/Radeon,Ultrabook,15.6,1920x1080,Full HD,No,AMD,A9-Series 9420,3.0,High Frequency,4,Low RAM,256GB SSD,256,Low Memory,AMD,Radeon 520,Windows 10,1.91,44695,Average Budget
Lenovo,ThinkPad E580,Notebook,15.6,1920x1080,IPS Panel Full HD,No,Intel,Core i7 8550U,1.8,Low Frequency,8,Average RAM,256GB SSD,256,Low Memory,AMD,Radeon RX 550,Windows 10,2.1,110081,High Budget
Lenovo,ThinkPad L470,Notebook,14.0,1920x1080,IPS Panel Full HD,No,Intel,Core i5 7200U,2.5,Average Frequency,8,Average RAM,256GB SSD,256,Low Memory,Intel,HD Graphics 620,Windows 10,1.9,84016,High Budget
Dell,Precision M5520,Workstation,15.6,3840x2160,4K Ultra HD / Touchscreen,Yes,Intel,Core i7 7700HQ,2.8,Average Frequency,8,Average RAM,256GB SSD,256,Low Memory,Nvidia,Quadro M1200,Windows 10,1.78,242913,High Budget
Lenovo,Thinkpad X1,Ultrabook,14.0,2560x1440,IPS Panel,No,Intel,Core i7 7500U,2.7,Average Frequency,16,Average RAM,1TB SSD,1024,Average Memory,Intel,HD Graphics 620,Windows 10,1.13,235121,High Budget
Lenovo,IdeaPad 320-15IAP,Notebook,15.6,1366x768,Not Specified,No,Intel,Celeron Dual Core N3350,1.1,Low Frequency,4,Low RAM,1TB HDD,1024,Average Memory,Intel,HD Graphics 500,Windows 10,2.2,27408,Low Budget
Asus,FX753VD-GC461T (i7-7700HQ/16GB/1TB,Gaming,17.3,1920x1080,Full HD,No,Intel,Core i7 7700HQ,2.8,Average Frequency,16,Average RAM,256GB SSD +  1TB HDD,1280,High Memory,Nvidia,GeForce GTX 1050,Windows 10,2.9,136952,High Budget
Lenovo,ThinkPad E580,Notebook,15.6,1920x1080,IPS Panel Full HD,No,Intel,Core i5 8250U,1.6,Low Frequency,8,Average RAM,256GB SSD +  1TB HDD,1280,High Memory,AMD,Radeon RX 550,Windows 10,2.1,102468,High Budget
Acer,Aspire 7,Notebook,15.6,1920x1080,Full HD,No,Intel,Core i7 7700HQ,2.8,Average Frequency,8,Average RAM,256GB SSD,256,Low Memory,Nvidia,GeForce GTX 1050,Linux,2.5,78732,High Budget
MSI,GE73VR 7RF,Gaming,17.3,1920x1080,Full HD,No,Intel,Core i7 7700HQ,2.8,Average Frequency,16,Average RAM,256GB SSD +  1TB HDD,1280,High Memory,Nvidia,GeForce GTX 1070,Windows 10,2.8,201442,High Budget
Asus,Zenbook 3,Ultrabook,14.0,1920x1080,Full HD,No,Intel,Core i7 7500U,2.7,Average Frequency,8,Average RAM,512GB SSD,512,Low Memory,Intel,HD Graphics 620,Windows 10,1.1,167764,High Budget
Toshiba,Portege Z30-C-16P,Ultrabook,13.3,1920x1080,Full HD,No,Intel,Core i7 6500U,2.5,Average Frequency,16,Average RAM,512GB SSD,512,Low Memory,Intel,HD Graphics 520,Windows 10,1.2,156478,High Budget
Dell,Latitude 7480,Ultrabook,14.0,1920x1080,Full HD,No,Intel,Core i7 7600U,2.8,Average Frequency,8,Average RAM,512GB SSD,512,Low Memory,Intel,HD Graphics,Windows 10,1.36,150477,High Budget
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1920x1080,Full HD,No,Intel,Core i3 6006U,2.0,Average Frequency,4,Low RAM,500GB HDD,500,Low Memory,Intel,HD Graphics 520,Windows 10,2.2,36634,Low Budget
Lenovo,Lenovo IdeaPad,Notebook,11.6,1366x768,Not Specified,No,Intel,Celeron Dual Core N3350,1.1,Low Frequency,2,Low RAM,32GB Flash Storage,32,Low Memory,Intel,HD Graphics 500,Windows 10,1.15,27229,Low Budget
Lenovo,ThinkPad P51,Workstation,15.6,1920x1080,Full HD,No,Intel,Core i7 7700HQ,2.8,Average Frequency,8,Average RAM,512GB SSD,512,Low Memory,Nvidia,Quadro M1200,Windows 10,2.67,172422,High Budget
Lenovo,Thinkpad T470p,Ultrabook,14.0,2560x1440,IPS Panel Full HD,No,Intel,Core i7 7700HQ,2.8,Average Frequency,8,Average RAM,512GB SSD,512,Low Memory,Nvidia,GeForce GT 940MX,Windows 10,1.7,174034,High Budget
HP,15-BS028nv (i3-6006U/4GB/1TB/Radeon,Notebook,15.6,1920x1080,Full HD,No,Intel,Core i3 6006U,2.0,Average Frequency,4,Low RAM,1TB HDD,1024,Average Memory,AMD,Radeon 520,Windows 10,2.1,42008,Average Budget
Acer,Aspire R7,2 in 1 Convertible,13.3,1920x1080,IPS Panel Full HD / Touchscreen,Yes,Intel,Core i7 6500U,2.5,Average Frequency,8,Average RAM,256GB SSD,256,Low Memory,Intel,HD Graphics 520,Windows 10,1.6,70670,High Budget
Asus,ZenBook Flip,2 in 1 Convertible,13.3,1920x1080,IPS Panel Full HD / Touchscreen,Yes,Intel,Core i5 7200U,2.5,Average Frequency,8,Average RAM,256GB SSD,256,Low Memory,Intel,HD Graphics 620,Windows 10,1.27,83120,High Budget
Dell,Inspiron 3567,Notebook,15.6,1920x1080,Full HD,No,Intel,Core i5 7200U,2.5,Average Frequency,4,Low RAM,256GB SSD,256,Low Memory,AMD,Radeon R5 M430,Linux,2.3,53562,Average Budget
Dell,Latitude 3380,Notebook,13.3,1366x768,Not Specified,No,Intel,Core i3 6006U,2.0,Average Frequency,4,Low RAM,128GB SSD,128,Low Memory,Intel,HD Graphics 520,Windows 10,1.65,61713,Average Budget
HP,EliteBook 1040,Ultrabook,14.0,1920x1080,Full HD,No,Intel,Core i7 6500U,2.5,Average Frequency,8,Average RAM,256GB SSD,256,Low Memory,Intel,HD Graphics 520,Windows 10,1.43,134355,High Budget
Dell,Inspiron 3567,Notebook,15.6,1366x768,Not Specified,No,Intel,Core i5 7200U,2.5,Average Frequency,8,Average RAM,1TB HDD,1024,Average Memory,Intel,HD Graphics 620,Windows 10,2.14,48278,Average Budget
Lenovo,ThinkPad E480,Ultrabook,14.0,1920x1080,IPS Panel Full HD,No,Intel,Core i7 8550U,1.8,Low Frequency,8,Average RAM,256GB SSD,256,Low Memory,AMD,Radeon RX 550,Windows 10,1.75,108827,High Budget
Lenovo,Yoga 720-15IKB,2 in 1 Convertible,15.6,3840x2160,IPS Panel 4K Ultra HD / Touchscreen,Yes,Intel,Core i7 7700HQ,2.8,Average Frequency,16,Average RAM,512GB SSD,512,Low Memory,Nvidia,GeForce GTX 1050,Windows 10,2.0,170093,High Budget
Chuwi,LapBook 12.3,Notebook,12.3,2736x1824,IPS Panel Retina Display,No,Intel,Celeron Quad Core N3450,1.1,Low Frequency,6,Average RAM,64GB Flash Storage,64,Low Memory,Intel,HD Graphics 500,Windows 10,1.4,40216,Average Budget
HP,ProBook 650,Notebook,15.6,1920x1080,Full HD,No,Intel,Core i7 7820HQ,2.9,High Frequency,8,Average RAM,256GB SSD,256,Low Memory,Intel,HD Graphics 630,Windows 10,2.31,127816,High Budget
Asus,X542UQ-DM117 (i3-7100U/8GB/1TB/GeForce,Notebook,15.6,1920x1080,Full HD,No,Intel,Core i3 7100U,2.4,Average Frequency,8,Average RAM,1TB HDD,1024,Average Memory,Nvidia,GeForce 940MX,Linux,2.3,53473,Average Budget
Dell,Alienware 17,Gaming,17.3,2560x1440,IPS Panel,No,Intel,Core i7 7820HK,2.9,High Frequency,16,Average RAM,256GB SSD +  1TB HDD,1280,High Memory,Nvidia,GeForce GTX 1070,Windows 10,4.42,250706,High Budget
Dell,Inspiron 7577,Gaming,15.6,1920x1080,IPS Panel Full HD,No,Intel,Core i7 7700HQ,2.8,Average Frequency,8,Average RAM,128GB SSD +  1TB HDD,1152,High Memory,Nvidia,GeForce GTX 1050 Ti,Windows 10,2.62,103811,High Budget
Dell,Inspiron 5570,Notebook,15.6,1920x1080,Full HD,No,Intel,Core i7 8550U,1.8,Low Frequency,8,Average RAM,256GB SSD +  2TB HDD,2304,High Memory,AMD,Radeon 530,Windows 10,2.02,102288,High Budget
Dell,Latitude 5480,Ultrabook,14.0,1920x1080,Full HD,No,Intel,Core i7 7600U,2.8,Average Frequency,8,Average RAM,256GB SSD,256,Low Memory,Intel,HD Graphics 620,Linux,1.6,98437,High Budget
HP,Omen 17-w207nv,Gaming,17.3,1920x1080,Full HD,No,Intel,Core i7 7700HQ,2.8,Average Frequency,12,Average RAM,256GB SSD +  1TB HDD,1280,High Memory,Nvidia,GeForce GTX 1070,Windows 10,3.35,179050,High Budget
Mediacom,FlexBook Edge,2 in 1 Convertible,11.6,1920x1080,IPS Panel Full HD / Touchscreen,Yes,Intel,Celeron Dual Core N3350,1.1,Low Frequency,4,Low RAM,32GB SSD,32,Low Memory,Intel,HD Graphics 500,Windows 10,1.16,26781,Low Budget
Samsung,Chromebook 3,Netbook,11.6,1366x768,Not Specified,No,Intel,Celeron Dual Core N3060,1.6,Low Frequency,4,Low RAM,16GB Flash Storage,16,Low Memory,Intel,HD Graphics 400,Chrome OS,1.15,24094,Low Budget
Lenovo,Thinkpad 13,Notebook,13.3,1920x1080,IPS Panel Full HD,No,Intel,Core i7 7500U,2.7,Average Frequency,8,Average RAM,256GB SSD,256,Low Memory,Intel,HD Graphics 620,Windows 10,1.4,90465,High Budget
Lenovo,IdeaPad 320s-14IKB,Notebook,14.0,1920x1080,IPS Panel Full HD,No,Intel,Core i3 7130U,2.7,Average Frequency,4,Low RAM,128GB SSD,128,Low Memory,Intel,HD Graphics 620,Windows 10,1.7,53652,Average Budget
Lenovo,Thinkpad T570,Workstation,15.6,3840x2160,IPS Panel 4K Ultra HD,No,Intel,Core i7 7600U,2.8,Average Frequency,16,Average RAM,512GB SSD,512,Low Memory,Nvidia,GeForce 940MX,Windows 10,2.3,218998,High Budget
Lenovo,Thinkpad P51,Notebook,15.6,1920x1080,Full HD,No,Intel,Core i7 7820HQ,2.9,High Frequency,16,Average RAM,512GB SSD,512,Low Memory,Nvidia,Quadro M2200M,Windows 10,2.5,219356,High Budget
Asus,Rog Strix,Gaming,17.3,1920x1080,Full HD,No,AMD,Ryzen 1600,3.2,High Frequency,8,Average RAM,256GB SSD +  1TB HDD,1280,High Memory,AMD,Radeon RX 580,Windows 10,3.2,151821,High Budget
HP,15-ra044nv (N3060/4GB/500GB/W10),Notebook,15.6,1366x768,Not Specified,No,Intel,Celeron Dual Core N3060,1.6,Low Frequency,4,Low RAM,500GB HDD,500,Low Memory,Intel,HD Graphics 400,Windows 10,2.1,31080,Low Budget
Google,Pixelbook (Core,Ultrabook,12.3,2400x1600,Touchscreen,Yes,Intel,Core i7 7Y75,1.3,Low Frequency,16,Average RAM,512GB SSD,512,Low Memory,Intel,HD Graphics 615,Chrome OS,1.1,196964,High Budget
Lenovo,ThinkPad T470s,Ultrabook,14.0,2560x1440,Not Specified,No,Intel,Core i7 7500U,2.7,Average Frequency,24,High RAM,512GB SSD,512,Low Memory,Intel,HD Graphics 620,Windows 10,1.32,213355,High Budget
